Episode,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
275,2774.722222222222,21,29,0,50
276,2907.7894736842104,19,34,0,53
277,2348.8125,22,34,0,56
278,2422.125,24,36,0,60
279,2032.25,6,37,0,43
280,2444.25,17,34,0,51
281,3836.3,35,33,0,68
282,2516.0588235294117,22,41,2,63
283,2556.05,16,29,0,45
284,2190.0588235294117,22,39,7,61
285,3322.0,26,34,0,60
286,5038.65,44,36,0,80
287,1790.4705882352941,13,43,12,56
288,3009.3,18,39,0,57
289,2502.5789473684213,21,33,0,54
290,5409.15,39,43,0,82
291,2639.8888888888887,18,40,0,58
292,2599.3333333333335,23,27,0,50
293,3027.2631578947367,25,35,0,60
294,2521.0526315789475,22,26,0,48
295,1926.1052631578948,11,30,0,41
296,2169.8888888888887,17,34,0,51
297,2035.9411764705883,18,35,0,53
298,2544.6666666666665,20,29,0,49
299,2873.6111111111113,27,35,7,62
300,2398.1666666666665,20,39,5,59
301,1997.157894736842,14,30,0,44
302,4356.526315789473,29,47,12,76
303,2171.2,11,32,0,43
304,2516.5555555555557,20,35,0,55
305,2990.5263157894738,24,40,0,64
306,1952.8333333333333,11,29,0,40
307,2814.2105263157896,17,41,0,58
308,2349.705882352941,20,33,10,53
309,3443.35,22,48,0,70
310,2500.5,26,32,0,58
311,2556.0,14,34,0,48
312,2699.9411764705883,26,31,0,57
313,2647.777777777778,20,40,0,60
314,4263.95,38,34,0,72
315,2281.722222222222,19,32,0,51
316,2501.5,16,33,0,49
317,2556.2,27,32,0,59
318,2402.6111111111113,16,38,0,54
319,2421.5263157894738,13,36,0,49
320,4092.55,25,47,0,72
321,2527.4375,21,43,0,64
322,2012.888888888889,20,31,0,51
323,2997.2105263157896,22,37,0,59
324,3808.45,29,39,0,68
325,2000.5294117647059,14,40,0,54
326,2004.9444444444443,16,33,0,49
327,3522.684210526316,25,37,0,62
328,3376.65,25,42,0,67
329,3627.5,24,48,0,72
330,4179.85,29,39,0,68
331,2003.8947368421052,15,34,0,49
332,2086.0555555555557,10,36,0,46
333,2019.7368421052631,15,33,0,48
334,2467.0555555555557,23,30,4,53
335,4448.15,39,30,0,69
336,1995.5263157894738,13,27,0,40
337,2012.2631578947369,12,32,0,44
338,3143.35,15,40,0,55
339,3980.7,28,40,0,68
340,2832.470588235294,25,40,0,65
341,2489.764705882353,21,27,0,48
342,2395.3125,36,35,0,71
343,2624.0,22,32,0,54
344,2298.5555555555557,14,42,12,56
345,2786.95,13,39,0,52
346,2560.4444444444443,20,35,0,55
347,2878.235294117647,32,41,2,73
348,3753.85,23,41,0,64
349,3876.7,23,38,0,61
350,2474.9444444444443,23,29,0,52
351,2975.4210526315787,21,45,0,66
352,2346.8823529411766,21,32,0,53
353,2779.2105263157896,19,33,0,52
354,3688.65,30,28,0,58
355,2198.470588235294,21,41,1,62
356,3516.45,15,46,0,61
357,1967.842105263158,10,35,0,45
358,2658.0526315789475,22,33,0,55
359,2938.1176470588234,31,30,0,61
360,2718.0,16,32,0,48
361,2375.5263157894738,16,35,0,51
362,1429.0,6,41,0,47
363,3370.684210526316,23,40,0,63
364,3754.8947368421054,31,41,0,72
365,2415.684210526316,9,40,0,49
366,2752.3684210526317,18,33,0,51
367,1978.7894736842106,12,29,0,41
