Episode,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
422,1740.9411764705883,1,22,4,23
423,3144.25,3,16,23,19
424,2404.823529411765,2,15,20,17
425,2864.722222222222,6,15,18,21
426,2136.3333333333335,3,21,12,24
427,1921.1764705882354,4,18,21,22
428,1657.25,4,17,11,21
429,1817.9375,2,17,23,19
430,2700.722222222222,10,24,10,34
431,1429.0,0,20,11,20
432,1900.5882352941176,2,21,10,23
433,3029.7368421052633,10,22,11,32
434,1988.2941176470588,7,19,5,26
435,1774.7222222222222,2,27,8,29
436,2388.1052631578946,1,26,13,27
437,1429.0,0,13,5,13
438,1656.9411764705883,0,19,12,19
439,1839.2105263157894,3,22,5,25
440,2726.4736842105262,4,20,15,24
441,1624.8333333333333,4,18,7,22
442,1980.0,4,18,10,22
443,1912.25,0,21,16,21
444,1685.8235294117646,4,18,19,22
445,3033.1666666666665,5,28,18,33
446,2646.315789473684,7,16,21,23
447,3897.3,4,19,25,23
448,2592.0,2,26,21,28
449,2767.3684210526317,5,11,20,16
450,1429.0,0,16,5,16
451,1601.764705882353,4,15,15,19
452,1699.7777777777778,0,14,8,14
453,2068.705882352941,3,15,23,18
454,2225.529411764706,4,13,21,17
455,2060.3888888888887,5,35,12,40
456,1996.5625,2,31,14,33
457,1429.0,1,14,9,15
458,2310.1111111111113,6,17,14,23
459,1429.0,0,19,3,19
460,2060.294117647059,2,12,26,14
461,1850.1764705882354,3,21,7,24
462,1869.9444444444443,2,16,30,18
463,1429.0,1,19,4,20
464,2163.6111111111113,4,10,29,14
465,1429.0,2,21,3,23
466,1528.25,0,17,6,17
467,2133.5,9,28,12,37
468,1429.0,0,8,12,8
469,2106.0,1,12,34,13
470,3284.5789473684213,5,20,20,25
471,2227.222222222222,1,19,12,20
472,1550.0625,1,18,15,19
473,2579.4210526315787,4,21,24,25
474,1810.9444444444443,5,18,18,23
475,1550.0625,2,15,7,17
476,1690.5294117647059,2,16,22,18
477,2668.1111111111113,1,19,25,20
478,1837.0588235294117,3,24,24,27
479,2838.277777777778,9,21,20,30
480,1929.4705882352941,3,22,15,25
481,1438.5333333333333,1,18,3,19
482,2679.95,6,8,13,14
483,2749.0,5,18,27,23
484,2057.722222222222,3,29,1,32
485,1438.5333333333333,1,22,6,23
486,1903.6842105263158,6,21,12,27
487,1598.0588235294117,2,17,14,19
488,2428.2105263157896,6,9,14,15
489,1438.5333333333333,0,24,16,24
490,1939.0,3,14,33,17
491,2171.5555555555557,8,18,15,26
492,1663.611111111111,3,16,29,19
493,1750.5,2,16,18,18
494,3348.0,11,11,27,22
495,1429.0,0,16,6,16
496,2852.176470588235,11,15,23,26
497,2417.6111111111113,3,15,19,18
498,1904.2941176470588,3,16,17,19
499,2698.8888888888887,4,22,12,26
500,1961.6666666666667,4,16,13,20
