Episode,Average Reward,Average Lifespan,True Location Count,False Location Count,Explore Actions,Target Actions
42,-23.910749999999727,2317.2105263157896,13,20,10,33
43,-26.840999999999536,2536.3,17,25,8,42
44,-33.07224999999973,2455.8947368421054,15,29,12,44
45,-35.8777499999993,2538.5789473684213,16,33,8,49
46,-30.629249999999978,1429.0,0,29,12,29
47,-25.409249999999833,2556.842105263158,15,30,6,45
48,-34.323499999999996,2873.5263157894738,13,33,10,46
49,-15.914499999999915,2217.4444444444443,13,26,11,39
50,-41.74949999999967,2427.3529411764707,23,25,6,48
51,-30.735249999999827,1975.8333333333333,11,23,11,34
52,-29.765000000000054,1983.842105263158,15,27,7,42
53,-33.98249999999864,2541.1111111111113,25,29,6,54
54,-27.35299999999929,2311.722222222222,14,31,6,45
55,-20.45425000000022,3358.9473684210525,32,36,12,68
56,-26.88599999999942,2176.0555555555557,14,24,16,38
57,-32.04249999999961,2309.684210526316,17,22,11,39
58,-31.890250000000144,2305.823529411765,20,33,11,53
59,-37.68675000000002,1429.0,8,30,5,38
60,-30.324750000000016,2335.35,12,24,9,36
61,-32.69724999999948,1833.4117647058824,13,26,12,39
62,-24.54224999999955,1953.7222222222222,11,25,6,36
63,-36.838999999999494,2106.0588235294117,18,27,11,45
64,-20.23149999999924,2539.5,18,22,9,40
65,-24.77424999999906,2766.5789473684213,25,27,9,52
66,-43.71725000000014,2524.3888888888887,23,39,5,62
67,-29.418749999999356,2625.85,14,24,6,38
68,-18.20450000000021,2187.4444444444443,34,26,13,60
69,-9.68924999999925,3084.3333333333335,33,23,7,56
70,-19.259249999999874,3254.5789473684213,19,29,12,48
71,-27.24949999999935,3048.9,21,27,7,48
72,-23.730999999999604,1598.0588235294117,10,25,9,35
73,-26.31374999999939,2654.8333333333335,20,28,5,48
74,-29.11174999999948,2810.8,14,29,7,43
75,-26.0752499999998,3972.157894736842,28,28,10,56
76,-32.502250000000004,2405.277777777778,19,37,7,56
77,-45.34849999999975,1643.764705882353,6,28,10,34
78,-29.335499999999154,2816.684210526316,20,25,7,45
79,-34.69974999999929,2035.0,12,32,16,44
80,-27.752999999999524,2945.9444444444443,22,19,10,41
81,-41.68574999999963,2600.3684210526317,12,24,7,36
82,-26.086249999998888,2737.6875,23,25,8,48
83,-30.390749999999638,2715.6315789473683,16,24,4,40
84,-29.344499999999243,2631.764705882353,19,27,12,46
85,-28.22249999999974,2207.6315789473683,15,25,13,40
86,-27.227749999999766,2223.6666666666665,17,27,9,44
87,-33.5324999999996,3138.1111111111113,26,37,8,63
88,-26.945999999999742,3008.7894736842104,18,32,8,50
89,-30.53750000000026,1429.0,12,29,8,41
90,-46.455999999999634,2169.8333333333335,14,42,7,56
91,-26.459749999999453,2538.4736842105262,17,28,11,45
92,-25.863999999999727,2637.9,13,29,5,42
93,-15.07074999999953,3301.2105263157896,21,35,16,56
94,-22.352749999999155,2911.9473684210525,22,32,6,54
95,-29.65024999999978,2304.5789473684213,10,24,9,34
96,-14.184499999999082,2854.1111111111113,28,21,13,49
97,-18.457499999999875,2786.684210526316,19,26,6,45
98,-29.505249999999705,3920.4,22,37,9,59
99,-36.093249999999884,2012.8333333333333,9,31,11,40
100,-35.55325000000009,2210.157894736842,13,28,8,41
101,-25.972749999999714,3418.2105263157896,20,28,10,48
102,-27.9997499999997,4161.55,21,34,9,55
103,-28.234249999999275,2223.705882352941,30,23,7,53
104,-19.675499999999694,1954.764705882353,14,27,11,41
105,-23.304249999999463,2307.764705882353,23,24,13,47
106,-29.917499999999468,2464.529411764706,13,33,17,46
107,-21.756249999999465,3627.0526315789475,30,25,10,55
108,-29.064499999999725,2236.0526315789475,7,29,8,36
109,-33.529499999999324,2255.3529411764707,20,30,12,50
110,-29.77674999999989,2847.6315789473683,15,31,10,46
111,-29.284999999999563,2198.8888888888887,19,29,6,48
112,-17.483499999999044,2444.9473684210525,19,20,12,39
113,-35.277749999999926,2382.277777777778,18,25,5,43
114,-36.42374999999912,3031.3888888888887,31,37,12,68
115,-25.14699999999995,2426.3888888888887,15,27,10,42
116,-34.99749999999949,1806.235294117647,10,28,10,38
117,-14.202749999999565,2779.1052631578946,22,29,9,51
